,datapoint,template,row,column,dtype
0,"S.01.01.01.01,r0010,c0010",S.01.01.01.01,r0010,c0010,object
1,"S.01.01.01.01,r0020,c0010",S.01.01.01.01,r0020,c0010,object
2,"S.01.01.01.01,r0030,c0010",S.01.01.01.01,r0030,c0010,object
3,"S.01.01.01.01,r0040,c0010",S.01.01.01.01,r0040,c0010,object
4,"S.01.01.01.01,r0060,c0010",S.01.01.01.01,r0060,c0010,object
5,"S.01.01.01.01,r0070,c0010",S.01.01.01.01,r0070,c0010,object
6,"S.01.01.01.01,r0080,c0010",S.01.01.01.01,r0080,c0010,object
7,"S.01.01.01.01,r0090,c0010",S.01.01.01.01,r0090,c0010,object
8,"S.01.01.01.01,r0100,c0010",S.01.01.01.01,r0100,c0010,object
9,"S.01.01.01.01,r0110,c0010",S.01.01.01.01,r0110,c0010,object
10,"S.01.01.01.01,r0120,c0010",S.01.01.01.01,r0120,c0010,object
11,"S.01.01.01.01,r0130,c0010",S.01.01.01.01,r0130,c0010,object
12,"S.01.01.01.01,r0140,c0010",S.01.01.01.01,r0140,c0010,object
13,"S.01.01.01.01,r0150,c0010",S.01.01.01.01,r0150,c0010,object
14,"S.01.01.01.01,r0160,c0010",S.01.01.01.01,r0160,c0010,object
15,"S.01.01.01.01,r0170,c0010",S.01.01.01.01,r0170,c0010,object
16,"S.01.01.01.01,r0180,c0010",S.01.01.01.01,r0180,c0010,object
17,"S.01.01.01.01,r0190,c0010",S.01.01.01.01,r0190,c0010,object
18,"S.01.01.01.01,r0200,c0010",S.01.01.01.01,r0200,c0010,object
19,"S.01.01.01.01,r0210,c0010",S.01.01.01.01,r0210,c0010,object
20,"S.01.01.01.01,r0220,c0010",S.01.01.01.01,r0220,c0010,object
21,"S.01.01.01.01,r0230,c0010",S.01.01.01.01,r0230,c0010,object
22,"S.01.01.01.01,r0240,c0010",S.01.01.01.01,r0240,c0010,object
23,"S.01.01.01.01,r0250,c0010",S.01.01.01.01,r0250,c0010,object
24,"S.01.01.01.01,r0260,c0010",S.01.01.01.01,r0260,c0010,object
25,"S.01.01.01.01,r0270,c0010",S.01.01.01.01,r0270,c0010,object
26,"S.01.01.01.01,r0280,c0010",S.01.01.01.01,r0280,c0010,object
27,"S.01.01.01.01,r0290,c0010",S.01.01.01.01,r0290,c0010,object
28,"S.01.01.01.01,r0300,c0010",S.01.01.01.01,r0300,c0010,object
29,"S.01.01.01.01,r0310,c0010",S.01.01.01.01,r0310,c0010,object
30,"S.01.01.01.01,r0320,c0010",S.01.01.01.01,r0320,c0010,object
31,"S.01.01.01.01,r0330,c0010",S.01.01.01.01,r0330,c0010,object
32,"S.01.01.01.01,r0340,c0010",S.01.01.01.01,r0340,c0010,object
33,"S.01.01.01.01,r0350,c0010",S.01.01.01.01,r0350,c0010,object
34,"S.01.01.01.01,r0360,c0010",S.01.01.01.01,r0360,c0010,object
35,"S.01.01.01.01,r0370,c0010",S.01.01.01.01,r0370,c0010,object
36,"S.01.01.01.01,r0380,c0010",S.01.01.01.01,r0380,c0010,object
37,"S.01.01.01.01,r0390,c0010",S.01.01.01.01,r0390,c0010,object
38,"S.01.01.01.01,r0400,c0010",S.01.01.01.01,r0400,c0010,object
39,"S.01.01.01.01,r0410,c0010",S.01.01.01.01,r0410,c0010,object
40,"S.01.01.01.01,r0420,c0010",S.01.01.01.01,r0420,c0010,object
41,"S.01.01.01.01,r0430,c0010",S.01.01.01.01,r0430,c0010,object
42,"S.01.01.01.01,r0440,c0010",S.01.01.01.01,r0440,c0010,object
43,"S.01.01.01.01,r0450,c0010",S.01.01.01.01,r0450,c0010,object
44,"S.01.01.01.01,r0460,c0010",S.01.01.01.01,r0460,c0010,object
45,"S.01.01.01.01,r0470,c0010",S.01.01.01.01,r0470,c0010,object
46,"S.01.01.01.01,r0480,c0010",S.01.01.01.01,r0480,c0010,object
47,"S.01.01.01.01,r0500,c0010",S.01.01.01.01,r0500,c0010,object
48,"S.01.01.01.01,r0510,c0010",S.01.01.01.01,r0510,c0010,object
49,"S.01.01.01.01,r0520,c0010",S.01.01.01.01,r0520,c0010,object
50,"S.01.01.01.01,r0530,c0010",S.01.01.01.01,r0530,c0010,object
51,"S.01.01.01.01,r0540,c0010",S.01.01.01.01,r0540,c0010,object
52,"S.01.01.01.01,r0550,c0010",S.01.01.01.01,r0550,c0010,object
